"id","ts","dust","temp","humidity"
"1","2026-04-21 03:12:07","34","30","50"
"2","2026-04-21 03:12:54","34","30","50"
"3","2026-04-21 03:13:07","34","30","51"
"4","2026-04-21 03:16:43","34","30","51"
"5","2026-04-21 03:18:17","25","30","51"
"6","2026-04-21 03:18:42","16","30","51"
"7","2026-04-21 03:19:33","16","30","55"
"8","2026-04-21 03:19:34","34","30","55"
"9","2026-04-21 03:29:46","20","30","61"
"10","2026-04-21 03:39:46","20","30","60"
"11","2026-04-21 03:49:46","20","31","73"
"12","2026-04-21 03:49:48","29","31","73"
"13","2026-04-21 03:59:46","29","31","71"
"14","2026-04-21 03:59:48","31","31","71"
"15","2026-04-21 04:09:47","31","31","68"
"16","2026-04-21 04:09:49","31","31","68"
"17","2026-04-21 04:19:47","31","31","74"
"18","2026-04-21 04:19:49","26","31","74"
"19","2026-04-21 04:29:47","26","31","65"
"20","2026-04-21 04:29:50","31","31","65"
"21","2026-04-21 04:39:48","31","31","73"
"22","2026-04-21 04:49:48","31","31","65"
"23","2026-04-21 04:49:53","33","31","65"
"24","2026-04-21 04:59:48","33","31","71"
"25","2026-04-21 05:09:48","33","31","72"
"26","2026-04-21 05:09:57","30","31","72"
"27","2026-04-21 05:19:49","30","31","72"
"28","2026-04-21 05:19:59","33","31","72"
"29","2026-04-21 05:29:49","33","31","73"
"30","2026-04-21 05:29:59","33","31","73"
"31","2026-04-21 05:39:49","33","31","69"
"32","2026-04-21 05:39:59","32","31","69"
"33","2026-04-21 05:49:49","32","31","68"
"34","2026-04-21 05:50:00","33","31","68"
"35","2026-04-21 05:59:50","33","31","73"
"36","2026-04-21 06:00:01","31","31","73"
"37","2026-04-21 06:09:50","31","31","72"
"38","2026-04-21 06:10:02","39","31","72"
"39","2026-04-21 06:19:50","39","31","69"
"40","2026-04-21 06:20:02","29","31","69"
"41","2026-04-21 06:29:50","29","31","73"
"42","2026-04-21 06:39:51","29","31","66"
"43","2026-04-21 06:40:05","32","31","66"
"44","2026-04-21 06:49:51","32","31","68"
"45","2026-04-21 06:59:51","32","31","69"
"46","2026-04-21 07:00:07","37","31","69"
"47","2026-04-21 07:09:51","37","31","70"
"48","2026-04-21 07:10:08","32","31","70"
"49","2026-04-21 07:19:52","32","31","69"
"50","2026-04-21 07:20:09","28","31","69"
"51","2026-04-21 07:29:52","28","31","62"
"52","2026-04-21 07:30:09","29","31","62"
"53","2026-04-21 07:39:52","29","31","67"
"54","2026-04-21 07:40:09","29","31","67"
"55","2026-04-21 07:49:53","29","32","67"
"56","2026-04-21 07:50:10","28","32","67"
"57","2026-04-21 07:59:53","28","32","66"
"58","2026-04-21 08:00:10","35","32","66"
"59","2026-04-21 08:09:53","35","32","63"
"60","2026-04-21 08:10:10","37","32","63"
"61","2026-04-21 08:19:53","37","32","69"
"62","2026-04-21 08:20:11","37","32","69"
"63","2026-04-21 08:29:54","37","32","67"
"64","2026-04-21 08:30:11","37","32","67"
"65","2026-04-21 08:39:54","37","32","65"
"66","2026-04-21 08:40:12","39","32","65"
"67","2026-04-21 08:49:54","39","32","67"
"68","2026-04-21 08:50:13","38","32","67"
"69","2026-04-21 08:59:54","38","32","67"
"70","2026-04-21 09:00:13","38","32","67"
"71","2026-04-21 09:09:55","38","32","67"
"72","2026-04-21 09:10:15","42","32","67"
"73","2026-04-21 09:19:55","42","32","63"
"74","2026-04-21 09:20:15","40","32","63"
"75","2026-04-21 09:29:55","40","33","63"
"76","2026-04-21 09:30:16","38","33","63"
"77","2026-04-21 09:39:55","38","33","59"
"78","2026-04-21 09:40:17","34","33","59"
"79","2026-04-21 09:49:56","34","33","53"
"80","2026-04-21 09:50:18","43","33","53"
"81","2026-04-21 09:59:56","43","33","57"
"82","2026-04-21 10:00:18","36","33","57"
"83","2026-04-21 10:09:56","36","33","57"
"84","2026-04-21 10:10:19","33","33","57"
"85","2026-04-21 10:19:56","33","33","52"
"86","2026-04-21 10:20:20","35","33","52"
"87","2026-04-21 10:29:57","35","33","46"
"88","2026-04-21 10:39:57","35","33","55"
"89","2026-04-21 10:40:23","43","33","55"
"90","2026-04-21 10:49:57","43","33","53"
"91","2026-04-21 10:50:23","44","33","53"
"92","2026-04-21 10:59:58","44","34","54"
"93","2026-04-21 11:09:58","44","33","53"
"94","2026-04-21 11:10:26","43","33","53"
"95","2026-04-21 11:19:58","43","34","50"
"96","2026-04-21 11:29:58","43","34","49"
"97","2026-04-21 11:39:59","43","34","46"
"98","2026-04-21 11:40:30","41","34","46"
"99","2026-04-21 11:49:59","41","34","49"
"100","2026-04-21 11:50:32","45","34","49"
"101","2026-04-21 11:59:59","45","34","49"
"102","2026-04-21 12:09:59","45","35","48"
"103","2026-04-21 12:10:35","40","35","48"
"104","2026-04-21 12:20:00","40","35","46"
"105","2026-04-21 12:30:00","40","35","47"
"106","2026-04-21 12:30:38","44","35","47"
"107","2026-04-21 12:40:00","44","34","44"
"108","2026-04-21 12:50:00","44","35","48"
"109","2026-04-21 12:50:41","34","35","48"
"110","2026-04-21 13:00:01","34","35","45"
"111","2026-04-21 13:00:41","41","35","45"
"112","2026-04-21 13:10:01","41","35","45"
"113","2026-04-21 13:10:42","33","35","45"
"114","2026-04-21 13:20:01","33","35","43"
"115","2026-04-21 13:20:43","34","35","43"
"116","2026-04-21 13:30:01","34","35","44"
"117","2026-04-21 13:30:43","33","35","44"
"118","2026-04-21 13:40:02","33","35","45"
"119","2026-04-21 13:40:44","38","35","45"
"120","2026-04-21 13:50:02","38","35","48"
"121","2026-04-21 14:00:02","38","35","49"
"122","2026-04-21 14:10:03","38","35","47"
"123","2026-04-21 14:10:48","42","35","47"
"124","2026-04-21 14:20:03","42","35","47"
"125","2026-04-21 14:20:49","37","35","47"
"126","2026-04-21 14:30:50","39","35","47"
"127","2026-04-21 15:00:55","37","35","46"
"128","2026-04-21 15:10:56","38","35","46"
"129","2026-04-21 15:30:58","38","35","45"
"130","2026-04-21 15:40:05","38","35","46"
"131","2026-04-21 15:40:59","34","35","46"
"132","2026-04-21 15:50:59","34","35","45"
"133","2026-04-21 16:00:59","34","35","46"
"134","2026-04-21 16:11:00","37","35","46"
"135","2026-04-21 16:20:06","37","35","46"
